ts	phase	decision	why	evidence	result
2026-09-01T04:35:00Z	frame	root object is the column, not a pile of contracts	agents were blending live src with the denomination target and following two trust rankings	docs/agents/onboarding.md:80 docs/maps/README.md:21	framed
2026-09-01T04:40:00Z	design	one cockpit file plus hops, no second glossary, no ninth maps region	laziness. restating the tower in every charter is the failure mode	docs/agents/system.md	wrote
2026-09-01T04:50:00Z	unit	hop AGENTS onboarding CONCEPTS PRODUCT DESIGN maps plan spec domain issue-tracker	every later session should open one file then one hop	git grep docs/agents/system.md	VERIFIED hops present
2026-09-01T04:55:00Z	skip-arena	did not run architect/arena	encoding a settled column model, not a novel architecture bakeoff	docs/agents/system.md	skipped
2026-09-01T04:56:00Z	skip-second-family	did not spawn a different-family trail reviewer	session policy forbids GPT and limits review models. parent remains grok	user_rule cursor-models-only	open
2026-09-01T05:20:00Z	frame	U8 still assigned AGENTS.md architecture copy after the router cut	plan is decision authority so ticket 08 alone cannot stop an implementer	docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md:689	framed
2026-09-01T05:21:00Z	skip-full-sweep	did not re-run CS1 or CS2/CS3 ignorance-lens rounds	CS1 swept 2026-08-24. CS2/CS3 pinned in KD14. This is a caller migration not a new Key Decision	docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md:8 docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md:266	skipped
2026-09-01T05:22:00Z	skip-architect	did not run architect/arena	session router already shipped in AGENTS.md	AGENTS.md:5	skipped
2026-09-01T05:23:00Z	unit	removed AGENTS.md overview from U8 and added sweep rule 12	two agents would otherwise restore the architecture essay because the plan outranks the ticket	docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md:689 docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md:1382	wrote
2026-09-01T05:24:00Z	harness	added check-agents-router.sh and ran it	prove the stale phrase is gone on the real plan file	.scratch/denomination-border-column/check-agents-router.sh	VERIFIED OK
2026-09-01T05:25:00Z	callers	spec rules 1-12, ticket 08 reads sweep rule 12, freeze text 1-12	migrate every live caller of sweep rule count in the same wave	.scratch/denomination-border-column/spec.md:144 .scratch/denomination-border-column/issues/08-docs-sync.md:23	VERIFIED
2026-09-01T05:30:00Z	trail-review	composer-2.5-fast flagged weak evidence and overclaimed VERIFIED	fix the log not the story. frame evidence was post-edit U8. harness lacked a persisted run log	Task 3a278703	superseded
2026-09-01T05:31:00Z	harness	widened check-agents-router.sh to require rule 12 and spec 1-12 then reran	reviewer found the first script only grepped two stale phrases	.scratch/denomination-border-column/check-agents-router.sh	VERIFIED OK
2026-09-01T05:32:00Z	callers-proof	repo grep found no remaining inherited-rules 1-11 callers	plan freeze 1425 cites signed decisions 1-11 which is a different list and stays	docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md:1425	VERIFIED
2026-09-01T05:33:00Z	land	left the working tree uncommitted	user did not ask to commit this turn	git status	open
2026-09-01T05:45:00Z	frame	CS6/CS7 were unplanned pins disguised as owner gates	two agents would git-install source or run ultracite init	docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md KD19 KD20	framed
2026-09-01T05:46:00Z	skip-full-sweep	did not re-run ten-lens CS1 sweep	pin fold only; CS1 already swept	docs/plans/2026-08-22-001-refactor-denomination-switch-border-column-plan.md 2026-09-01 record	skipped
2026-09-01T05:47:00Z	unit	pinned npm-only 0.5.0, named calls, four conjuncts, evidence path	git f1df09b9 has no _esm; 0.4.0 is node entry	npm view eth-compress@0.5.0 404; github package.json files field	wrote
2026-09-01T05:52:00Z	unit	owner re-pin CS6 to npm eth-compress@0.4.0; drop gitHead	published package has compress_call and browser _esm; 0.5.0 unpublished	user query 2026-09-01	wrote
2026-09-01T05:48:00Z	unit	pinned ultracite 7.10.7 oxlint 1.80.0 oxfmt 0.65.0 and config bodies	init rewrites AGENTS.md; core.ignorePatterns drops generated.ts	npm view; ultracite pack ignores.mjs **/generated	wrote
2026-09-01T05:49:00Z	callers	tickets 21-26 spec start-OK AS8 rules 13-14 signed decision 12	live campaign files must not still say reviewers establish pins	.scratch/denomination-border-column/issues/21-eth-compress-benchmark.md	wrote
